q10,q11,q12,q13,q15,q16,q17,q18,q19,q20,q20b,q22,q24,q31,q112b_fi,q116,q122,q122a,q122b,q125,q139,q142,gender,msa,region,allwt,job,census,state,q3a,cmb1
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go down,4, ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,75+,86,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.544846741018295,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Somewhat better,Somewhat bad time,Very good time,Prices will go down, , ,Prices will remain about the same, , ,Don't know VOL,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL, ,Significantly lower now,70-74,70,70-74,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Male, , ,.512807272756386,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Much better,Very bad time,Somewhat good time,Prices will go down,20, ,Prices will go up, ,10,Rates will go up,Somewhat difficult,Rent,Rent,Not at all concerned,Significantly higher now,18-20,20,18-20,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Male, , ,1.67722681630989,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Somewhat worse,Somewhat good time,Somewhat good time,Prices will go down,5, ,Prices will go down,5, ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent, ,About the same vs. twelve months ago,75+,79,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.650200144063647,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Somewhat better,Very bad time,Somewhat good time,Prices will go up, , ,Prices will go up, ,5,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly lower now,50-54,50,50-54,Divorced,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$35,000-$49,999",Male, , ,1.21509059077022,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Much better,Somewhat good time,Somewhat bad time,Prices will go down,5, ,Prices will go up, ,15,Rates will remain about the same,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,35-39,36,35-39,Single,Black / African-American,"$150,000-$199,999",Female, , ,2.73989029352539,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Right track,Much better,Very bad time,Somewhat good time,Prices will go down,10, ,Prices will go up, ,8,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent,Somewhat concerned,About the same vs. twelve months ago,21-24,23,21-24,Single,"Asian (DO NOT READ: includes Chinese, Japanese, Korean, Vietnamese, Thai, Indian, Pakistani, etc.)","$35,000-$49,999",Male, , ,4.6460099677096,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will go down,30, ,Rates will remain about the same,Somewhat difficult,Rent,Rent,Not at all concerned,Significantly higher now,21-24,22,21-24,Married or have an unmarried partner,Black / African-American,Don't know VOL,Male, , ,1.38213497453472,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Right track,Somewhat better,Very bad time,Somewhat good time,Prices will go up, ,10,Prices will go up, ,10,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly lower now,60-64,64,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.589175585469992,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Right track,Somewhat better,Don't know VOL,Very good time,Prices will go up, , ,Prices will go up, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,Don't know VOL, ,Don't know,Married or have an unmarried partner,Black / African-American,Don't know VOL,Female, , ,.986645677116701,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go down,25, ,Prices will go up, ,10,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,50-54,54,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$100,000-$149,999",Female, , ,1.45126246194046,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat bad time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Rent, ,About the same vs. twelve months ago,70-74,71,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Male, , ,.48316767290736,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,15,Rates will go up,Somewhat difficult,Rent,Buy,Somewhat concerned,About the same vs. twelve months ago,50-54,50,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.975928577487514,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go down,30, ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Very concerned,About the same vs. twelve months ago,35-39,38,35-39,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,1.30288079433109,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Stay about the same,Very good time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,Rent,Rent, ,Significantly lower now,65-69,65,65-69,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","Less than $10,000",Female, , ,.620179556171813,Jun-2022 (26724),Division 5,Virginia,Virginia,General Population
Wrong track,Much worse,Very bad time,Very bad time,Prices will go up, ,20,Prices will go up, ,20,Rates will go up,Very difficult,Rent,Rent, ,Significantly lower now,45-49,46,45-49,Single,Don't know VOL,"$50,000-$74,999",Female, , ,.39476024895499,Jun-2022 (26724),Division 5,West Virginia,West Virginia,General Population
Right track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will go up, , ,Prices will go up, , ,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,60-64,61,60-64,Married or have an unmarried partner,Don't know VOL,"$50,000-$74,999",Female, , ,.127159169821983,Jun-2022 (26724),Division 5,West Virginia,West Virginia,General Population
Wrong track,Stay about the same,Don't know VOL,Somewhat bad time,Don't know VOL, , ,Prices will go up, ,3,Rates will go up,Somewhat easy,Rent,Rent,Not at all concerned,Significantly lower now,60-64,60,60-64,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.887602695609842,Jun-2022 (26724),Division 5,West Virginia,West Virginia,General Population
Don't know VOL,Stay about the same,Very bad time,Very good time,Prices will go up, ,6,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,55-59,56,55-59,Married or have an unmarried partner,Black / African-American,"$150,000-$199,999",Male, , ,.624180399950342,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,20,Rates will go up,Somewhat easy,Own your home outright and do not have any debt on it,Rent, ,Significantly lower now,65-69,69,65-69,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$75,000-$99,999",Female, , ,.429088059873208,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,84,75+,Widowed,Other (DO NOT READ: include refused here),"$100,000-$149,999",Female, , ,.994489852147637,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat better,Somewhat bad time,Very good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,40-44,41,40-44,Divorced,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$100,000-$149,999",Male, , ,2.10123014112631,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go up, ,5,Prices will go up, ,5,Rates will go up,Somewhat easy,Rent,Buy,Not at all concerned,Significantly higher now,50-54,51,50-54,Single,Black / African-American,"$35,000-$49,999",Female, , ,.881927078413416,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go up, , ,Prices will go up, ,20,Rates will go down,Very difficult,Rent,Buy,Very concerned,Significantly higher now,55-59,56,55-59,Divorced,Black / African-American,"Less than $10,000",Female, , ,1.68457330529134,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Right track,Stay about the same,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Don't know VOL,60-64,61,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.29042413231945,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat better,Don't know VOL,Very bad time,Prices will go up, ,20,Don't know VOL, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Significantly higher now,75+,75,75+,Widowed,Black / African-American,Don't know VOL,Female, , ,.361201627083211,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Right track,Somewhat better,Somewhat good time,Somewhat good time,Prices will go up, ,5,Prices will remain about the same, , ,Rates will remain about the same,Very difficult,Own your home outright and do not have any debt on it,Rent,Very concerned,About the same vs. twelve months ago,21-24,22,21-24,Single,"Asian (DO NOT READ: includes Chinese, Japanese, Korean, Vietnamese, Thai, Indian, Pakistani, etc.)","$100,000-$149,999",Female, , ,12.2371628259694,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Right track,Don't know VOL,Somewhat good time,Somewhat good time,Prices will go up, ,10,Prices will go up, , ,Rates will remain about the same,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL, ,About the same vs. twelve months ago,70-74,74,70-74,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.362811889440776,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat good time,Prices will go down,7, ,Prices will remain about the same, , ,Rates will go up,Somewhat difficult,Rent,Rent, ,About the same vs. twelve months ago,60-64,62,60-64,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.79643619480908,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will go down,20, ,Don't know VOL, , ,Don't know VOL,Very difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,About the same vs. twelve months ago,45-49,45,45-49,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.474289175799053,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Right track,Somewhat better,Very bad time,Somewhat bad time,Prices will go down,5, ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,70-74,70,70-74,Married or have an unmarried partner,American Indian or Alaska Native,Don't know VOL,Female, , ,.225571811205547,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat better,Somewhat good time,Very good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go down,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,65-69,67,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.267095655336057,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Stay about the same,Don't know VOL,Don't know VOL,Prices will go up, ,20,Prices will go up, ,30,Rates will go up,Don't know VOL,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL, ,Significantly higher now,70-74,72,70-74,Widowed,Black / African-American,"$75,000-$99,999",Female, , ,1.28022339082629,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat worse,Very bad time,Somewhat good time,Prices will go down,5, ,Prices will go up, ,25,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Very concerned,Significantly lower now,60-64,62,60-64,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$75,000-$99,999",Female, , ,.777027284865753,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Stay about the same,Don't know VOL,Somewhat good time,Prices will go up, ,10,Prices will remain about the same, , ,Rates will remain about the same,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,55-59,57,55-59,Widowed,Black / African-American,Don't know VOL,Female, , ,.401880299705713,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat better,Don't know VOL,Somewhat good time,Prices will remain about the same, , ,Prices will go up, ,5,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Not at all concerned,About the same vs. twelve months ago,45-49,46,45-49,Don't know VOL,American Indian or Alaska Native,"$35,000-$49,999",Female, , ,1.47708444245377,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go up, ,10,Prices will go up, ,20,Rates will go up,Very difficult,Rent,Rent, ,Significantly lower now,60-64,64,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Female, , ,.372652340260921,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Much worse,Somewhat bad time,Very good time,Don't know VOL, , ,Prices will go up, ,10,Rates will go up,Very easy,Live with someone else and don't pay for housing,Rent,Not at all concerned,About the same vs. twelve months ago,18-20,20,18-20,Single,Don't know VOL,"$15,000-$24,999",Male, , ,.071469158824934,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat better,Very bad time,Very good time,Prices will go up, ,5,Prices will go up, ,5,Don't know VOL,Somewhat difficult,Rent,Rent,Not at all concerned,About the same vs. twelve months ago,18-20,20,18-20,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$25,000-$34,999",Male, , ,1.30336282592741,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Much worse,Very bad time,Don't know VOL,Prices will go up, , ,Prices will go up, ,15,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,81,75+,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Male, , ,.476849836757453,Jun-2022 (26724),Division 5,North Carolina,North Carolina,General Population
Wrong track,Somewhat worse,Very bad time,Don't know VOL,Prices will go down,10, ,Prices will go down,10, ,Rates will go up,Don't know VOL,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,60-64,63,60-64,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$35,000-$49,999",Female, , ,.877303203663519,Jun-2022 (26724),Division 5,South Carolina,South Carolina,General Population
Right track,Somewhat better,Somewhat bad time,Very good time,Prices will go down,2, ,Prices will go up, ,5,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,65-69,65,65-69,Widowed,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Female, , ,1.06429792648317,Jun-2022 (26724),Division 5,South Carolina,South Carolina,General Population
Right track,Much better,Somewhat good time,Very good time,Prices will go up, ,3,Prices will go up, ,1,Rates will go up,Very difficult,Live with someone else and don't pay for housing,Buy,Not very concerned,Significantly lower now,50-54,52,50-54,Divorced,Black / African-American,"Less than $10,000",Female, , ,.400172203894286,Jun-2022 (26724),Division 5,South Carolina,South Carolina,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,60-64,62,60-64,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Female, , ,2.08850978775199,Jun-2022 (26724),Division 5,South Carolina,South Carolina,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,40-44,43,40-44,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$50,000-$74,999",Male, , ,.658504710955814,Jun-2022 (26724),Division 5,South Carolina,South Carolina,General Population
Wrong track,Somewhat better,Very bad time,Very bad time,Prices will go up, ,15,Prices will go up, ,5,Rates will remain about the same,Very difficult,Own your home outright and do not have any debt on it,Buy, ,Significantly lower now,Don't know VOL, ,Don't know,Don't know VOL,Other (DO NOT READ: include refused here),Don't know VOL,Female, , ,.168001051606837,Jun-2022 (26724), ,Refused/Do not live in the United States,Refused/Do not live in the United States/Not coded,General Population
Wrong track,Much better,Somewhat bad time,Very good time,Prices will go down,10, ,Prices will go up, ,10,Rates will go down,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,Significantly higher now,55-59,55,55-59,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$75,000-$99,999",Male, , ,1.0070996006179,Jun-2022 (26724),Division 5,South Carolina,South Carolina,General Population
Wrong track,Much worse,Don't know VOL,Somewhat bad time,Prices will go up, , ,Don't know VOL, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,Don't know VOL,70-74,73,70-74,Don't know VOL,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,.494246777590712,Jun-2022 (26724),Division 5,South Carolina,South Carolina,General Population
Wrong track,Stay about the same,Somewhat bad time,Somewhat bad time,Prices will go up, ,2,Prices will go up, ,10,Rates will go up,Somewhat difficult,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,45-49,47,45-49,Other VOL,Don't know VOL,Don't know VOL,Female, , ,.122372572113121,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat worse,Somewhat bad time,Somewhat bad time,Prices will go up, ,6,Prices will go up, ,20,Rates will go up,Somewhat difficult,Rent,Buy,Not at all concerned,Significantly higher now,18-20,20,18-20,Married or have an unmarried partner,Black / African-American,"$200,000+",Male, , ,3.14652603045378,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Stay about the same,Very bad time,Very good time,Prices will go down,30, ,Prices will go up, ,15,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,Significantly higher now,30-34,30,30-34,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Male, , ,3.71231944775883,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat worse,Very bad time,Very good time,Prices will go up, ,15,Prices will remain about the same, , ,Rates will remain about the same,Very difficult,Rent,Buy,Not at all concerned,Significantly higher now,25-29,27,25-29,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$15,000-$24,999",Female, , ,4.87030841684357,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will go up, ,20,Prices will go up, ,25,Rates will go up,Somewhat difficult,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,45-49,46,45-49,Married or have an unmarried partner,Black / African-American,"$15,000-$24,999",Male, , ,.413381765224971,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat worse,Somewhat bad time,Very good time,Prices will go down, , ,Prices will go up, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,70-74,70,70-74,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.162014233410256,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Very good time,Very bad time,Prices will go up, ,20,Prices will go up, , ,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not very concerned,Significantly higher now,65-69,65,65-69,Divorced,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$150,000-$199,999",Female, , ,1.96993323874986,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Right track,Much better,Somewhat good time,Very good time,Prices will go up, ,7,Prices will go down,11, ,Don't know VOL,Very easy,Rent,Buy, ,Significantly higher now,30-34,31,30-34,Single,"Asian (DO NOT READ: includes Chinese, Japanese, Korean, Vietnamese, Thai, Indian, Pakistani, etc.)","$25,000-$34,999",Female, , ,4.66911378956483,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat worse,Somewhat good time,Very good time,Prices will go down,20, ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,Rent,Buy,Very concerned,Significantly higher now,40-44,40,40-44,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$35,000-$49,999",Male, , ,1.15331561330647,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Somewhat bad time,Very good time,Prices will remain about the same, , ,Prices will remain about the same, , ,Rates will remain about the same,Somewhat easy,Own your home outright and do not have any debt on it,Buy, ,About the same vs. twelve months ago,75+,84,75+,Married or have an unmarried partner,Other (DO NOT READ: include refused here),Don't know VOL,Male, , ,.15517725826461,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go down,13, ,Prices will go up, ,2,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy, ,About the same vs. twelve months ago,60-64,60,60-64,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Male, , ,.246888955868214,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much better,Very bad time,Very good time,Prices will go up, ,2,Prices will go up, ,2,Rates will go down,Very difficult,Rent,Buy,Not at all concerned,Significantly lower now,21-24,24,21-24,Single,Black / African-American,"$35,000-$49,999",Female, , ,3.25093091757394,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Somewhat better,Very good time,Very good time,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Somewhat difficult,Rent,Buy, ,Significantly higher now,30-34,30,30-34,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Male, , ,.617185913265869,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Very bad time,Very bad time,Prices will go down,20, ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,65-69,69,65-69,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,.389809896299183,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Don't know VOL,Stay about the same,Don't know VOL,Don't know VOL,Prices will go up, ,10,Prices will go up, ,10,Rates will go up,Very easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Don't know VOL,Not at all concerned,About the same vs. twelve months ago,55-59,55,55-59,Single,Black / African-American,"$75,000-$99,999",Female, , ,.885166704746936,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Stay about the same,Somewhat bad time,Very good time,Prices will go down, , ,Don't know VOL, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,50-54,51,50-54,Married or have an unmarried partner,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)",Don't know VOL,Female, , ,1.02619316897202,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Somewhat good time,Somewhat good time,Prices will go up, ,30,Prices will go up, ,20,Rates will go up,Very difficult,Own your home outright and do not have any debt on it,Don't know VOL,Very concerned,Significantly lower now,60-64,60,60-64,Married or have an unmarried partner,"Hispanic / Latino (DO NOT READ: Mexican, Brazilian, etc.)","$10,000-$14,999",Male, , ,.712468410555869,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much better,Somewhat bad time,Somewhat good time,Prices will go up, ,5,Prices will go up, ,7,Don't know VOL,Somewhat easy,Own your home outright and do not have any debt on it,Rent, ,About the same vs. twelve months ago,25-29,25,25-29,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$10,000-$14,999",Male, , ,.411546484859631,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Stay about the same,Very bad time,Somewhat bad time,Prices will go down,10, ,Prices will remain about the same, , ,Rates will go up,Somewhat easy,"Have a mortgage on your home, such as a first mortgage, second mortgage or Home Equity Line of Credit or HELOC",Buy,Not at all concerned,About the same vs. twelve months ago,35-39,36,35-39,Married or have an unmarried partner,Other (DO NOT READ: include refused here),"$50,000-$74,999",Female, , ,.774506536344727,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
Wrong track,Much worse,Very bad time,Very good time,Prices will go down,25, ,Prices will remain about the same, , ,Rates will go up,Very easy,Own your home outright and do not have any debt on it,Buy,Not at all concerned,Significantly higher now,18-20,18,18-20,Single,"White / Caucasian (DO NOT READ: includes European, Italian, Polish, etc.)","$200,000+",Male, , ,1.85934293414174,Jun-2022 (26724),Division 5,Georgia,Georgia,General Population
